ID	Dev._Stage	Timepoint	Site	Date	Tree_spec.	Tree_Numb	Tree_ID	Defoliation_level	Sample	Latitude	Longitude	Dposcontrol_extraction_ID	Dposcontrol_extraction_kit	Notes	Date_of_extraction	Negative
b31	L6	2	T007	7/8/2015	Spruce	Bf1	T007_Bf1	35	A	49.392944	-68.068699	b31	Kit2	****	18/07/18	N6
b32	L6	2	T007	7/8/2015	Spruce	Bf3	T007_Bf3	25	A	49.392944	-68.068699	b32	Kit2		18/07/18	N6
b33	L6	2	T008	7/7/2015	Spruce	Bf2	T008_Bf2	30	A	49.23949	-68.597442	b33	Kit2		18/07/18	N6
b35	L6	2	T009	7/7/2015	Balsam_fir	Spr3	T009_Spr3	20	A	49.611703	-69.075353	b35	Kit2		18/07/18	N6
b36	L6	2	T009	7/7/2015	Spruce	Bf3	T009_Bf3	25	A	49.611703	-69.075353	b36	Kit2		18/07/18	N6
b37	L6	2	T010	7/8/2015	Balsam_fir	Spr1	T010_Spr1	5	A	49.748861	-68.536682	b37	Kit2		18/07/18	N6
b38	L6	2	T010	7/8/2015	Balsam_fir	Spr2	T010_Spr2	3	A	49.748861	-68.536682	b38	Kit2		18/07/18	N6
b39	L6	2	T011X	7/15/2015	Balsam_fir	Spr3	T011X_Spr3	10	A	49.89622	-68.197646	b39	Kit2		18/07/18	N6
b41	L6	2	T012X	7/15/2015	Balsam_fir	Spr1	T012X_Spr1	5	A	50.229951	-68.235794	b41	Kit2		18/07/18	N6
b42	L6	2	T012X	7/15/2015	Balsam_fir	Spr2	T012X_Spr2	3	A	50.229951	-68.235794	b42	Kit2		18/07/18	N6
b43	L6	2	T012X	7/15/2015	Balsam_fir	Spr3	T012X_Spr3	3	A	50.229951	-68.235794	b43	Kit2		18/07/18	N6
b44	L6	2	T012X	7/15/2015	Spruce	Bf1	T012X_Bf1	2	A	50.229951	-68.235794	b44	Kit2		18/07/18	N6
b45	L6	2	T012X	7/15/2015	Spruce	Bf2	T012X_Bf2	3	A	50.229951	-68.235794	b45	Kit2		18/07/18	N6
b46	L6	2	T013	7/18/2015	Balsam_fir	Spr2	T013_Spr2	5	A	50.771329	-68.663839	b46	Kit2		18/07/18	N6
